CellType,genesymbol
Nucleotide_excision_repair,ERCC4
Nucleotide_excision_repair,LIG1
Nucleotide_excision_repair,PCNA
Nucleotide_excision_repair,POLE
Nucleotide_excision_repair,POLE2
Nucleotide_excision_repair,RFC2
Nucleotide_excision_repair,RFC3
Nucleotide_excision_repair,RFC4
Nucleotide_excision_repair,RFC5
Nucleotide_excision_repair,RPA1
Nucleotide_excision_repair,RPA3
Oocyte_meiosis,AURKA
Oocyte_meiosis,BUB1
Oocyte_meiosis,CCNB2
Oocyte_meiosis,CCNE1
Oocyte_meiosis,CCNE2
Oocyte_meiosis,CDC20
Oocyte_meiosis,CDC25C
Oocyte_meiosis,CDK1
Oocyte_meiosis,CDK2
Oocyte_meiosis,ESPL1
Oocyte_meiosis,FBXO5
Oocyte_meiosis,MAD2L1
Oocyte_meiosis,MAD2L2
Oocyte_meiosis,PLK1
Oocyte_meiosis,SGOL1
Oocyte_meiosis,SMC3
Oocyte_meiosis,YWHAB
p53_signaling_pathway,CCNB2
p53_signaling_pathway,CCNE1
p53_signaling_pathway,CCNE2
p53_signaling_pathway,CDK1
p53_signaling_pathway,CDK2
p53_signaling_pathway,CDKN2A
p53_signaling_pathway,GTSE1
p53_signaling_pathway,PPM1D
p53_signaling_pathway,RFWD2
p53_signaling_pathway,RRM2
Progesterone-mediated_oocyte_maturation,BUB1
Progesterone-mediated_oocyte_maturation,CCNA2
Progesterone-mediated_oocyte_maturation,CCNB2
Progesterone-mediated_oocyte_maturation,CDC25A
Progesterone-mediated_oocyte_maturation,CDC25C
Progesterone-mediated_oocyte_maturation,CDK1
Progesterone-mediated_oocyte_maturation,CDK2
Progesterone-mediated_oocyte_maturation,MAD2L1
Progesterone-mediated_oocyte_maturation,MAD2L2
Progesterone-mediated_oocyte_maturation,PLK1
Proteasome,IFNG
Proteasome,PSMA4
Proteasome,PSMB2
Proteasome,PSMB4
Proteasome,PSMC4
Proteasome,PSMD4
Proteasome,PSMD7
Pyrimidine_metabolism,CTPS1
Pyrimidine_metabolism,DTYMK
Pyrimidine_metabolism,POLA2
Pyrimidine_metabolism,POLE
Pyrimidine_metabolism,POLE2
Pyrimidine_metabolism,PRIM1
Pyrimidine_metabolism,PRIM2
Pyrimidine_metabolism,RRM2
Pyrimidine_metabolism,TYMS
Spliceosome,HNRNPM
Spliceosome,LSM3
Spliceosome,LSM4
Spliceosome,LSM5
Spliceosome,MAGOHB
Spliceosome,PRPF19
Spliceosome,SF3B2
Spliceosome,SF3B3
Spliceosome,SF3B4
Spliceosome,SNRNP40
Spliceosome,SNRPA1
Spliceosome,SNRPC
Spliceosome,USP39
Spliceosome,WBP11
Systemic_lupus_erythematosus,H2AFV
Systemic_lupus_erythematosus,H2AFZ
Systemic_lupus_erythematosus,HIST1H2AB
Systemic_lupus_erythematosus,HIST1H2AG
Systemic_lupus_erythematosus,HIST1H2AH
Systemic_lupus_erythematosus,HIST1H2AI
Systemic_lupus_erythematosus,HIST1H2AM
Systemic_lupus_erythematosus,HIST1H2BC
Systemic_lupus_erythematosus,HIST1H2BD
Systemic_lupus_erythematosus,HIST1H2BF
Systemic_lupus_erythematosus,HIST1H2BJ
Systemic_lupus_erythematosus,HIST1H2BK
Systemic_lupus_erythematosus,HIST1H2BL
Systemic_lupus_erythematosus,HIST1H2BN
Systemic_lupus_erythematosus,HIST1H2BO
Systemic_lupus_erythematosus,HIST1H3B
Systemic_lupus_erythematosus,HIST1H3D
Systemic_lupus_erythematosus,HIST1H3H
Systemic_lupus_erythematosus,HIST1H4A
Systemic_lupus_erythematosus,HIST1H4B
Systemic_lupus_erythematosus,HIST2H2AB
Systemic_lupus_erythematosus,HIST2H2AC
Systemic_lupus_erythematosus,HIST2H2BE
Systemic_lupus_erythematosus,HIST2H2BF
Systemic_lupus_erythematosus,HIST
Viral_carcinogenesis,CCNA2
Viral_carcinogenesis,CCNE1
Viral_carcinogenesis,CCNE2
Viral_carcinogenesis,CDC20
Viral_carcinogenesis,CDK1
Viral_carcinogenesis,CDK2
Viral_carcinogenesis,CDKN2A
Viral_carcinogenesis,CREB3L4
Viral_carcinogenesis,GTF2E1
Viral_carcinogenesis,HIST1H2BC
Viral_carcinogenesis,HIST1H2BD
Viral_carcinogenesis,HIST1H2BF
Viral_carcinogenesis,HIST1H2BJ
Viral_carcinogenesis,HIST1H2BK
Viral_carcinogenesis,HIST1H2BL
Viral_carcinogenesis,HIST1H2BN
Viral_carcinogenesis,HIST1H2BO
Viral_carcinogenesis,HIST1H4A
Viral_carcinogenesis,HIST1H4B
Viral_carcinogenesis,HIST2H2BE
Viral_carcinogenesis,HIST2H2BF
Viral_carcinogenesis,SKP2
Viral_carcinogenesis,YWHAB
BIOCARTA_CTLA4_PATHWAY,CD247
BIOCARTA_CTLA4_PATHWAY,CD28
BIOCARTA_CTLA4_PATHWAY,CD3D
BIOCARTA_CTLA4_PATHWAY,CD3E
BIOCARTA_CTLA4_PATHWAY,CD3G
BIOCARTA_CTLA4_PATHWAY,CD80
BIOCARTA_CTLA4_PATHWAY,CD86
BIOCARTA_CTLA4_PATHWAY,CTLA4
BIOCARTA_CTLA4_PATHWAY,GRB2
BIOCARTA_CTLA4_PATHWAY,HLA-DRA
BIOCARTA_CTLA4_PATHWAY,HLA-DRB1
BIOCARTA_CTLA4_PATHWAY,HLA-DRB3
BIOCARTA_CTLA4_PATHWAY,HLA-DRB4
BIOCARTA_CTLA4_PATHWAY,HLA-DRB5
BIOCARTA_CTLA4_PATHWAY,ICOS
BIOCARTA_CTLA4_PATHWAY,ICOSLG
BIOCARTA_CTLA4_PATHWAY,IL2
BIOCARTA_CTLA4_PATHWAY,ITK
BIOCARTA_CTLA4_PATHWAY,LCK
BIOCARTA_CTLA4_PATHWAY,PIK3CA
BIOCARTA_CTLA4_PATHWAY,PIK3R1
BIOCARTA_CTLA4_PATHWAY,PTPN11
GO_ADAPTIVE_IMMUNE_RESPONSE,ADA
GO_ADAPTIVE_IMMUNE_RESPONSE,ADAM17
GO_ADAPTIVE_IMMUNE_RESPONSE,ADCY7
GO_ADAPTIVE_IMMUNE_RESPONSE,ADGRE1
GO_ADAPTIVE_IMMUNE_RESPONSE,AGER
GO_ADAPTIVE_IMMUNE_RESPONSE,AICDA
GO_ADAPTIVE_IMMUNE_RESPONSE,AIRE
GO_ADAPTIVE_IMMUNE_RESPONSE,ALCAM
GO_ADAPTIVE_IMMUNE_RESPONSE,ALOX15
GO_ADAPTIVE_IMMUNE_RESPONSE,ANXA1
GO_ADAPTIVE_IMMUNE_RESPONSE,APCS
GO_ADAPTIVE_IMMUNE_RESPONSE,APLF
GO_ADAPTIVE_IMMUNE_RESPONSE,ARG1
GO_ADAPTIVE_IMMUNE_RESPONSE,ARG2
GO_ADAPTIVE_IMMUNE_RESPONSE,ATAD5
GO_ADAPTIVE_IMMUNE_RESPONSE,AZGP1
GO_ADAPTIVE_IMMUNE_RESPONSE,B2M
GO_ADAPTIVE_IMMUNE_RESPONSE,BACH2
GO_ADAPTIVE_IMMUNE_RESPONSE,BATF
GO_ADAPTIVE_IMMUNE_RESPONSE,BCL10
GO_ADAPTIVE_IMMUNE_RESPONSE,BCL3
GO_ADAPTIVE_IMMUNE_RESPONSE,BCL6
GO_ADAPTIVE_IMMUNE_RESPONSE,BMX
GO_ADAPTIVE_IMMUNE_RESPONSE,BTK
GO_ADAPTIVE_IMMUNE_RESPONSE,BTLA
GO_ADAPTIVE_IMMUNE_RESPONSE,BTN3A1
GO_ADAPTIVE_IMMUNE_RESPONSE,BTN3A2
GO_ADAPTIVE_IMMUNE_RESPONSE,BTN3A3
GO_ADAPTIVE_IMMUNE_RESPONSE,BTNL8
GO_ADAPTIVE_IMMUNE_RESPONSE,C17orf99
GO_ADAPTIVE_IMMUNE_RESPONSE,C1QA
GO_ADAPTIVE_IMMUNE_RESPONSE,C1QB
GO_ADAPTIVE_IMMUNE_RESPONSE,C1QBP
GO_ADAPTIVE_IMMUNE_RESPONSE,C1QC
GO_ADAPTIVE_IMMUNE_RESPONSE,C1R
GO_ADAPTIVE_IMMUNE_RESPONSE,C1RL
GO_ADAPTIVE_IMMUNE_RESPONSE,C1S
GO_ADAPTIVE_IMMUNE_RESPONSE,C2
GO_ADAPTIVE_IMMUNE_RESPONSE,C3
GO_ADAPTIVE_IMMUNE_RESPONSE,C4A
GO_ADAPTIVE_IMMUNE_RESPONSE,C4B
GO_ADAPTIVE_IMMUNE_RESPONSE,C4BPA
GO_ADAPTIVE_IMMUNE_RESPONSE,C4BPB
GO_ADAPTIVE_IMMUNE_RESPONSE,C5
GO_ADAPTIVE_IMMUNE_RESPONSE,C6
GO_ADAPTIVE_IMMUNE_RESPONSE,C7
GO_ADAPTIVE_IMMUNE_RESPONSE,C8A
GO_ADAPTIVE_IMMUNE_RESPONSE,C8B
GO_ADAPTIVE_IMMUNE_RESPONSE,C8G
GO_ADAPTIVE_IMMUNE_RESPONSE,C9
GO_ADAPTIVE_IMMUNE_RESPONSE,CAMK4
GO_ADAPTIVE_IMMUNE_RESPONSE,CCL19
GO_ADAPTIVE_IMMUNE_RESPONSE,CCR2
GO_ADAPTIVE_IMMUNE_RESPONSE,CCR6
GO_ADAPTIVE_IMMUNE_RESPONSE,CD160
GO_ADAPTIVE_IMMUNE_RESPONSE,CD19
GO_ADAPTIVE_IMMUNE_RESPONSE,CD1A
GO_ADAPTIVE_IMMUNE_RESPONSE,CD1B
GO_ADAPTIVE_IMMUNE_RESPONSE,CD1C
GO_ADAPTIVE_IMMUNE_RESPONSE,CD1D
GO_ADAPTIVE_IMMUNE_RESPONSE,CD1E
GO_ADAPTIVE_IMMUNE_RESPONSE,CD209
GO_ADAPTIVE_IMMUNE_RESPONSE,CD226
GO_ADAPTIVE_IMMUNE_RESPONSE,CD244
GO_ADAPTIVE_IMMUNE_RESPONSE,CD247
GO_ADAPTIVE_IMMUNE_RESPONSE,CD27
GO_ADAPTIVE_IMMUNE_RESPONSE,CD274
GO_ADAPTIVE_IMMUNE_RESPONSE,CD28
GO_ADAPTIVE_IMMUNE_RESPONSE,CD3D
GO_ADAPTIVE_IMMUNE_RESPONSE,CD3E
GO_ADAPTIVE_IMMUNE_RESPONSE,CD3G
GO_ADAPTIVE_IMMUNE_RESPONSE,CD4
GO_ADAPTIVE_IMMUNE_RESPONSE,CD40
GO_ADAPTIVE_IMMUNE_RESPONSE,CD40LG
GO_ADAPTIVE_IMMUNE_RESPONSE,CD46
GO_ADAPTIVE_IMMUNE_RESPONSE,CD48
GO_ADAPTIVE_IMMUNE_RESPONSE,CD55
GO_ADAPTIVE_IMMUNE_RESPONSE,CD6
GO_ADAPTIVE_IMMUNE_RESPONSE,CD7
GO_ADAPTIVE_IMMUNE_RESPONSE,CD70
GO_ADAPTIVE_IMMUNE_RESPONSE,CD74
GO_ADAPTIVE_IMMUNE_RESPONSE,CD79A
GO_ADAPTIVE_IMMUNE_RESPONSE,CD79B
GO_ADAPTIVE_IMMUNE_RESPONSE,CD80
GO_ADAPTIVE_IMMUNE_RESPONSE,CD81
GO_ADAPTIVE_IMMUNE_RESPONSE,CD84
GO_ADAPTIVE_IMMUNE_RESPONSE,CD86
GO_ADAPTIVE_IMMUNE_RESPONSE,CD8A
GO_ADAPTIVE_IMMUNE_RESPONSE,CD8B
GO_ADAPTIVE_IMMUNE_RESPONSE,CD8B2
GO_ADAPTIVE_IMMUNE_RESPONSE,CEACAM1
GO_ADAPTIVE_IMMUNE_RESPONSE,CFI
GO_ADAPTIVE_IMMUNE_RESPONSE,CLC
GO_ADAPTIVE_IMMUNE_RESPONSE,CLCF1
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC10A
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC4A
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC4C
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC4D
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC4G
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC4M
GO_ADAPTIVE_IMMUNE_RESPONSE,CLEC6A
GO_ADAPTIVE_IMMUNE_RESPONSE,CLU
GO_ADAPTIVE_IMMUNE_RESPONSE,CR1
GO_ADAPTIVE_IMMUNE_RESPONSE,CR2
GO_ADAPTIVE_IMMUNE_RESPONSE,CRACR2A
GO_ADAPTIVE_IMMUNE_RESPONSE,CRP
GO_ADAPTIVE_IMMUNE_RESPONSE,CSK
GO_ADAPTIVE_IMMUNE_RESPONSE,CTLA4
GO_ADAPTIVE_IMMUNE_RESPONSE,CTSC
GO_ADAPTIVE_IMMUNE_RESPONSE,CTSH
GO_ADAPTIVE_IMMUNE_RESPONSE,CTSL
GO_ADAPTIVE_IMMUNE_RESPONSE,CTSS
GO_ADAPTIVE_IMMUNE_RESPONSE,CXCL13
GO_ADAPTIVE_IMMUNE_RESPONSE,CYRIB
GO_ADAPTIVE_IMMUNE_RESPONSE,DBNL
GO_ADAPTIVE_IMMUNE_RESPONSE,DCLRE1C
GO_ADAPTIVE_IMMUNE_RESPONSE,DENND1B
GO_ADAPTIVE_IMMUNE_RESPONSE,DLG1
GO_ADAPTIVE_IMMUNE_RESPONSE,DUSP10
GO_ADAPTIVE_IMMUNE_RESPONSE,DUSP22
GO_ADAPTIVE_IMMUNE_RESPONSE,EBI3
GO_ADAPTIVE_IMMUNE_RESPONSE,EIF2AK4
GO_ADAPTIVE_IMMUNE_RESPONSE,EMP2
GO_ADAPTIVE_IMMUNE_RESPONSE,EOMES
GO_ADAPTIVE_IMMUNE_RESPONSE,ERAP1
GO_ADAPTIVE_IMMUNE_RESPONSE,ERAP2
GO_ADAPTIVE_IMMUNE_RESPONSE,ERCC1
GO_ADAPTIVE_IMMUNE_RESPONSE,EXO1
GO_ADAPTIVE_IMMUNE_RESPONSE,EXOSC3
GO_ADAPTIVE_IMMUNE_RESPONSE,EXOSC6
GO_ADAPTIVE_IMMUNE_RESPONSE,FADD
GO_ADAPTIVE_IMMUNE_RESPONSE,FBXO38
GO_ADAPTIVE_IMMUNE_RESPONSE,FCAMR
GO_ADAPTIVE_IMMUNE_RESPONSE,FCER1G
GO_ADAPTIVE_IMMUNE_RESPONSE,FCER2
GO_ADAPTIVE_IMMUNE_RESPONSE,FCGR1B
GO_ADAPTIVE_IMMUNE_RESPONSE,FCGR2B
GO_ADAPTIVE_IMMUNE_RESPONSE,FCRL4
GO_ADAPTIVE_IMMUNE_RESPONSE,FGA
GO_ADAPTIVE_IMMUNE_RESPONSE,FGB
GO_ADAPTIVE_IMMUNE_RESPONSE,FGL1
GO_ADAPTIVE_IMMUNE_RESPONSE,FGL2
GO_ADAPTIVE_IMMUNE_RESPONSE,FOXJ1
GO_ADAPTIVE_IMMUNE_RESPONSE,FOXP3
GO_ADAPTIVE_IMMUNE_RESPONSE,FUT7
GO_ADAPTIVE_IMMUNE_RESPONSE,FYN
GO_ADAPTIVE_IMMUNE_RESPONSE,FZD5
GO_ADAPTIVE_IMMUNE_RESPONSE,GAPT
GO_ADAPTIVE_IMMUNE_RESPONSE,GATA3
GO_ADAPTIVE_IMMUNE_RESPONSE,GCNT3
GO_ADAPTIVE_IMMUNE_RESPONSE,GNL1
GO_ADAPTIVE_IMMUNE_RESPONSE,GPR183
GO_ADAPTIVE_IMMUNE_RESPONSE,GZMM
GO_ADAPTIVE_IMMUNE_RESPONSE,HAVCR2
GO_ADAPTIVE_IMMUNE_RESPONSE,HFE
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-A
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-B
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-C
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DMA
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DMB
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DOA
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DOB
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DPA1
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DPB1
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DQA1
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DQA2
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DQB1
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DQB2
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DRA
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DRB1
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DRB3
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DRB4
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-DRB5
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-E
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-F
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-G
GO_ADAPTIVE_IMMUNE_RESPONSE,HLA-H
GO_ADAPTIVE_IMMUNE_RESPONSE,HLX
GO_ADAPTIVE_IMMUNE_RESPONSE,HMCES
GO_ADAPTIVE_IMMUNE_RESPONSE,HMGB1
GO_ADAPTIVE_IMMUNE_RESPONSE,HMHB1
GO_ADAPTIVE_IMMUNE_RESPONSE,HPRT1
GO_ADAPTIVE_IMMUNE_RESPONSE,HPX
GO_ADAPTIVE_IMMUNE_RESPONSE,HRAS
GO_ADAPTIVE_IMMUNE_RESPONSE,HSPD1
GO_ADAPTIVE_IMMUNE_RESPONSE,ICAM1
GO_ADAPTIVE_IMMUNE_RESPONSE,ICOSLG
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA1
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA10
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA13
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA14
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA16
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA17
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA2
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA21
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA4
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA5
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA6
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA7
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNA8
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNB1
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNE
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNG
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNK
GO_ADAPTIVE_IMMUNE_RESPONSE,IFNW1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHA1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHA2
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHD
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHD1-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHE
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHG1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHG2
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHG3
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHG4
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHJ1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHM
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-18
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-24
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-3
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-45
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-58
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-69
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-69-2
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1-69D
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV1OR15-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV2-26
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV2-5
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV2-70
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV2-70D
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-11
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-13
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-15
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-16
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-20
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-21
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-23
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-30
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-33
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-35
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-38
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-43
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-48
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-49
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-53
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-64
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-64D
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-66
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-7
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-72
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-73
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV3-74
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-28
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-31
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-34
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-39
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-4
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-59
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV4-61
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV5-10-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV5-51
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV6-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV7-4-1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGHV7-81
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKC
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKJ1
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-12
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-13
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-16
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-17
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-27
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-37
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-39
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-5
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-6
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-8
GO_ADAPTIVE_IMMUNE_RESPONSE,IGKV1-9
